Insert,10,0.002159,Search,10,0.89011
Insert,11,0.004636,Search,11,0.95813
Insert,12,0.009852,Search,12,1.03431
Insert,13,0.020965,Search,13,1.10282
Insert,14,0.044868,Search,14,1.19768
Insert,15,0.097761,Search,15,1.29689
Insert,16,0.206975,Search,16,1.36285
Insert,17,0.442381,Search,17,1.46422
Insert,18,0.949946,Search,18,1.56241
Insert,19,2.01904,Search,19,1.67701
Insert,20,4.30593,Search,20,1.81037
Insert,21,9.19193,Search,21,1.98727
Insert,22,19.4549,Search,22,2.21678
Insert,23,41.5047,Search,23,2.40674
Insert,24,89.0103,Search,24,2.92136
Insert,25,186.275,Search,25,2.72323
Insert,26,395.248,Search,26,2.88742
Insert,27,839.445,Search,27,3.08215
Insert,28,1893.13,Search,28,3.28374
